paper_id,phenotype,metric,disease_layer_proxy,confidence,reason,recommended_use,calibration_candidate,validation_candidate,manual_review_required,notes
PINK1-007,"Reduced climbing",climbing,motor_vigor,HIGH,"Bài có assay negative geotaxis và mô tả climbing giảm ở Pink1[B9].", "Calibration; Validation",conditional,true,true,"Method có 20 ruồi đực/buồng, 20 s, vạch 10 cm, 5 trials."
PINK1-007,"Reduced flight",flight,coordination,MEDIUM,"Flight performance cần phối hợp nhiều bộ phận; chưa có decomposition của coordination.","Disease Signature; Validation",conditional,true,true,"Cần giữ riêng khỏi walking speed."
PINK1-007,"Abnormal wing posture/thorax indentation",morphology,postural_instability,HIGH,"Wing posture và thorax indentation là bằng chứng hình thái gần với ổn định tư thế hơn climbing đơn thuần.","Disease Signature; Validation",conditional,true,true,"Đây là proxy tính toán, không phải đo thần kinh."
PINK1-008,"Climbing defect",climbing,motor_vigor,HIGH,"Climbing là endpoint trực tiếp của năng lực vận động trong paper.","Disease Signature; Validation",conditional,true,true,"n >= 60/genotype được ghi nhận; exact values pending."
PINK1-008,"Climbing rescue",climbing,motor_vigor,MEDIUM,"Rescue cho thấy output thay đổi dưới điều kiện di truyền, nhưng không cho biết proxy duy nhất.","Validation",false,true,true,"Không dùng rescue như bằng chứng hiệu quả thuốc."
PINK1-009,"Abnormal/slower climbing",climbing,motor_vigor,HIGH,"Climbing giảm được đo trong PINK1-null background.","Calibration; Validation",conditional,true,true,"Cần genotype-by-variant table."
PINK1-009,"Wing posture",posture,postural_instability,HIGH,"Wing posture bất thường là phenotype tư thế được quan sát trực tiếp.","Disease Signature; Validation",conditional,true,true,"Không thay thế phép đo orientation trajectory."
PINK1-010,"Reduced larval crawling",crawling,motor_vigor,HIGH,"Crawling giảm là biểu hiện output vận động giảm ở stage larva.","Disease Signature; Validation",conditional,true,true,"Không gộp trực tiếp với adult walking."
PINK1-010,"Larval idling",idling,freezing,LOW,"Idling có thể gợi ý trạng thái dừng, nhưng chưa đủ để gọi là freezing event.","Disease Signature",false,true,true,"Cần định nghĩa idling và ngưỡng thời gian."
PINK1-010,"Adult climbing/jumping/flying defects",climbing; jumping; flight,motor_vigor,HIGH,"Nhiều assay adult cho thấy impairment vận động, phù hợp nhất với motor vigor ở mức tổng hợp.","Disease Signature; Validation",conditional,true,true,"Tách từng assay và stage khi nhập atlas."
PINK1-011,"Climbing/flight validation phenotype",climbing; flight,motor_vigor,HIGH,"Climbing và flight là endpoint vận động trực tiếp, nhưng là kết quả phụ của nghiên cứu mitophagy.","Validation",conditional,true,true,"Không ưu tiên làm calibration target nếu thiếu source data."
PINK1-012,"Locomotion endpoint not confirmed",,UNMAPPED,NONE,"Chưa xác nhận paper có named locomotion assay phù hợp.","Reference only",false,false,true,"Có thể loại khỏi phenotype set."
PINK1-013,"Negative geotaxis climbing defect",climbing,motor_vigor,HIGH,"Assay đo số ruồi vượt vạch trong 10 s; method và sample size khá rõ.","Calibration; Validation",conditional,true,true,"Male 1-2 days, n > 150/genotype, 5 trials."
PINK1-013,"Negative geotaxis performance",climbing,postural_instability,LOW,"Leo qua vạch có thể chịu ảnh hưởng tư thế, nhưng paper không tách biến này.","Validation",false,true,true,"Mapping phụ; không dùng như kết luận chính."
PINK1-014,"Pink1 climbing defect",climbing,motor_vigor,HIGH,"Fig. 5A kiểm tra locomotor climbing của Pink1 mutants.","Validation; Disease Signature",conditional,true,true,"Cần map đúng genotype và negative interaction."
PINK1-014,"No rescue/enhanced defect under Relish manipulation",climbing,motor_vigor,MEDIUM,"Kết quả âm tính cho biết perturbation phụ không làm giảm phenotype; không tạo proxy mới.","Validation",false,true,true,"Giữ nguyên là negative result."
PINK1-015,"Retarded movement and speed in untreated PINK1B9",speed; trajectory,motor_vigor,HIGH,"Paper dùng instantaneous speed và trajectory; baseline PINK1B9 được mô tả chậm hơn revertant.","Calibration; Validation",conditional,true,true,"Tách ngày 0 không L-DOPA khỏi các ngày treatment."
PINK1-015,"Abrupt acceleration and directional change after prolonged L-DOPA",AIM score; angular change,noise,MEDIUM,"Các chuyển động bất thường được mô tả bằng speed deviation và đổi hướng; phù hợp với execution noise trong điều kiện thuốc, không phải baseline Pink1 mặc định.","Validation",conditional,true,true,"Không diễn giải thành noise sinh học đã chứng minh."
PINK1-015,"Directional change/turning",angular change,coordination,LOW,"Đổi hướng liên quan phối hợp, nhưng paper không tách inter-leg coordination.","Validation",false,true,true,"Giữ confidence thấp."
PINK1-016,"Climbing time",time to finish,motor_vigor,HIGH,"Thời gian tới vạch là endpoint motor output tổng hợp.","Validation; Disease Signature",conditional,true,true,"10 ruồi đực 3 ngày, vial 18 cm, vạch 15 cm, 3 trials/group, 10 experiments."
PINK1-016,"Climbing time",time to finish,latency,LOW,"Thời gian hoàn thành có thể chứa initiation/action latency, nhưng assay không tách thành phần này.","Validation",false,true,true,"Không fit latency riêng từ metric này."
PINK1-017,"Climbing defect",climbing,motor_vigor,HIGH,"Fig. 8B-C có climbing endpoint và sample sizes theo genotype.","Calibration; Validation",conditional,true,true,"Exact plotted values pending source data."
PINK1-017,"Thorax indentation",morphology,postural_instability,HIGH,"Thorax indentation là phenotype hình thái liên quan tư thế/cấu trúc.","Disease Signature; Validation",conditional,true,true,"Không đồng nhất với orientation variance."
PINK1-018,"Startle-induced negative geotaxis",geotaxis,motor_vigor,HIGH,"SING đo khả năng leo sau kích thích và có nhóm tuổi rõ.","Disease Signature; Validation",conditional,true,true,"Không phải continuous walking/stride."
PINK1-018,"Age-dependent geotaxis decline",geotaxis; age,motor_vigor,MEDIUM,"Suy giảm theo tuổi có thể phản ánh giảm output vận động, nhưng không đủ để gọi là fatigue.","Validation",false,true,true,"Fatigue proxy không được bật chỉ từ dữ liệu này."
